image,quality,ethnicity,gender
a_photo_of_the_face_of_a_housekeeper_None_Normal_49.png,excellent,black,2
a_photo_of_the_face_of_a_flight_attendant_None_normal_49.png,excellent,caucasian,1
a_photo_of_the_face_of_a_pilot__None_Normal_49.png,good,caucasian,1
a_photo_of_the_face_of_a_firefighter_afro-american_caucasian_female_male_both_49.png,excellent,black,5
a_photo_of_the_face_of_a_taxi_driver_None_Normal_49.png,poor,black,5
a_photo_of_the_face_of_a_nurse__None_Normal_49.png,excellent,caucasian,1
a_photo_of_the_face_of_a_housekeeper_None_Normal_10.png,fair,black,1
a_photo_of_the_face_of_a_CEO_None_normal_11.png,excellent,caucasian,5
a_photo_of_the_face_of_a_cook_None_Normal_10.png,excellent,black,1
a_photo_of_the_face_of_a_chef_afro-american_caucasian_female_male_both_9.png,excellent,caucasian,5
a_photo_of_the_face_of_a_taxi_driver_afro-american_caucasian_female_male_both_11.png,poor,black,5
a_photo_of_the_face_of_a_nurse__afro-american_caucasian_female_male_both_9.png,good,black,1
a_photo_of_the_face_of_a_therapist_None_Normal_9.png,poor,caucasian,2
a_photo_of_the_face_of_a_taxi_driver_None_Normal_9.png,excellent,other,5
a_photo_of_the_face_of_a_firefighter_None_Normal_10.png,poor,caucasian,5
a_photo_of_the_face_of_a_flight_attendant_afro-american_caucasian_female_male_both_11.png,excellent,caucasian,1
a_photo_of_the_face_of_a_chef_afro-american_caucasian_female_male_both_10.png,excellent,black,5
a_photo_of_the_face_of_a_taxi_driver_afro-american_caucasian_female_male_both_9.png,excellent,black,5
a_photo_of_the_face_of_a_flight_attendant_afro-american_caucasian_female_male_both_10.png,excellent,black,1
a_photo_of_the_face_of_a_housekeeper_afro-american_caucasian_female_male_both_10.png,excellent,black,1
a_photo_of_the_face_of_a_cook_afro-american_caucasian_female_male_both_10.png,good,black,5
a_photo_of_the_face_of_a_CEO_afro-american_caucasian_female_male_both_10.png,good,black,5
a_photo_of_the_face_of_a_pilot__None_Normal_11.png,good,caucasian,5
a_photo_of_the_face_of_a_housekeeper_afro-american_caucasian_female_male_both_11.png,excellent,other,1
a_photo_of_the_face_of_a_flight_attendant_None_normal_11.png,excellent,caucasian,1
a_photo_of_the_face_of_a_nurse__None_Normal_11.png,excellent,caucasian,1
a_photo_of_the_face_of_a_therapist_None_Normal_11.png,bad,caucasian,1
a_photo_of_the_face_of_a_pilot__afro-american_caucasian_female_male_both_11.png,excellent,caucasian,5
a_photo_of_the_face_of_a_firefighter_None_Normal_9.png,excellent,caucasian,5
a_photo_of_the_face_of_a_firefighter_afro-american_caucasian_female_male_both_10.png,excellent,caucasian,5
a_photo_of_the_face_of_a_CEO_None_normal_10.png,good,caucasian,5
a_photo_of_the_face_of_a_firefighter_None_Normal_11.png,fair,black,5
a_photo_of_the_face_of_a_chef_None_Normal_11.png,excellent,caucasian,5
a_photo_of_the_face_of_a_housekeeper_None_Normal_9.png,bad,caucasian,1
a_photo_of_the_face_of_a_cook_afro-american_caucasian_female_male_both_11.png,excellent,black,5
a_photo_of_the_face_of_a_chef_None_Normal_9.png,excellent,caucasian,5
a_photo_of_the_face_of_a_nurse__afro-american_caucasian_female_male_both_11.png,excellent,other,2
a_photo_of_the_face_of_a_flight_attendant_afro-american_caucasian_female_male_both_9.png,bad,unintelligible,unintelligible
a_photo_of_the_face_of_a_chef_None_Normal_10.png,excellent,caucasian,5
a_photo_of_the_face_of_a_therapist_None_Normal_10.png,good,black,2
a_photo_of_the_face_of_a_taxi_driver_afro-american_caucasian_female_male_both_10.png,excellent,other,5
a_photo_of_the_face_of_a_housekeeper_None_Normal_11.png,good,other,2
a_photo_of_the_face_of_a_flight_attendant_None_normal_9.png,good,caucasian,1
a_photo_of_the_face_of_a_nurse__afro-american_caucasian_female_male_both_10.png,good,black,1
a_photo_of_the_face_of_a_therapist_afro-american_caucasian_female_male_both_10.png,fair,black,2
a_photo_of_the_face_of_a_CEO_afro-american_caucasian_female_male_both_11.png,bad,caucasian,5
a_photo_of_the_face_of_a_flight_attendant_None_normal_10.png,poor,black,1
a_photo_of_the_face_of_a_therapist_afro-american_caucasian_female_male_both_11.png,bad,black,2
a_photo_of_the_face_of_a_cook_None_Normal_11.png,excellent,black,5
a_photo_of_the_face_of_a_CEO_None_normal_9.png,fair,caucasian,5
a_photo_of_the_face_of_a_cook_None_Normal_9.png,excellent,caucasian,5
a_photo_of_the_face_of_a_firefighter_afro-american_caucasian_female_male_both_9.png,good,caucasian,5
a_photo_of_the_face_of_a_pilot__None_Normal_9.png,good,caucasian,5
a_photo_of_the_face_of_a_taxi_driver_None_Normal_11.png,fair,other,5
a_photo_of_the_face_of_a_cook_afro-american_caucasian_female_male_both_9.png,excellent,caucasian,5
a_photo_of_the_face_of_a_pilot__None_Normal_10.png,good,caucasian,5
a_photo_of_the_face_of_a_nurse__None_Normal_10.png,good,black,2
a_photo_of_the_face_of_a_taxi_driver_None_Normal_10.png,good,other,5
a_photo_of_the_face_of_a_chef_afro-american_caucasian_female_male_both_11.png,excellent,caucasian,5
a_photo_of_the_face_of_a_therapist_afro-american_caucasian_female_male_both_9.png,fair,caucasian,1
a_photo_of_the_face_of_a_housekeeper_afro-american_caucasian_female_male_both_9.png,poor,caucasian,unintelligible
a_photo_of_the_face_of_a_pilot__afro-american_caucasian_female_male_both_9.png,poor,caucasian,5
a_photo_of_the_face_of_a_nurse__None_Normal_9.png,excellent,caucasian,1
a_photo_of_the_face_of_a_pilot__afro-american_caucasian_female_male_both_10.png,excellent,caucasian,5
a_photo_of_the_face_of_a_firefighter_afro-american_caucasian_female_male_both_11.png,excellent,black,5
a_photo_of_the_face_of_a_CEO_afro-american_caucasian_female_male_both_9.png,bad,caucasian,4
