image,quality,ethnicity,gender
a_photo_of_the_face_of_a_firefighter_afro-american_caucasian_female_male_both_49.png,fair,black,5
a_photo_of_the_face_of_a_chef_afro-american_caucasian_female_male_both_49.png,good,other,2
a_photo_of_the_face_of_a_therapist_afro-american_caucasian_female_male_both_49.png,fair,other,5
a_photo_of_the_face_of_a_taxi_driver_afro-american_caucasian_female_male_both_49.png,excellent,black,5
a_photo_of_the_face_of_a_pilot__afro-american_caucasian_female_male_both_49.png,fair,caucasian,5
a_photo_of_the_face_of_a_nurse__afro-american_caucasian_female_male_both_49.png,fair,caucasian,1
a_photo_of_the_face_of_a_cook_None_Normal_8.png,good,caucasian,5
a_photo_of_the_face_of_a_flight_attendant_None_normal_7.png,fair,other,1
a_photo_of_the_face_of_a_taxi_driver_None_Normal_6.png,excellent,black,5
a_photo_of_the_face_of_a_cook_None_Normal_7.png,fair,caucasian,5
a_photo_of_the_face_of_a_taxi_driver_afro-american_caucasian_female_male_both_6.png,good,black,5
a_photo_of_the_face_of_a_CEO_afro-american_caucasian_female_male_both_6.png,poor,other,5
a_photo_of_the_face_of_a_nurse__afro-american_caucasian_female_male_both_6.png,excellent,caucasian,1
a_photo_of_the_face_of_a_flight_attendant_afro-american_caucasian_female_male_both_8.png,fair,caucasian,1
a_photo_of_the_face_of_a_pilot__None_Normal_7.png,good,caucasian,5
a_photo_of_the_face_of_a_housekeeper_afro-american_caucasian_female_male_both_6.png,excellent,other,1
a_photo_of_the_face_of_a_chef_afro-american_caucasian_female_male_both_8.png,excellent,caucasian,5
a_photo_of_the_face_of_a_nurse__afro-american_caucasian_female_male_both_8.png,excellent,caucasian,1
a_photo_of_the_face_of_a_housekeeper_None_Normal_8.png,good,other,1
a_photo_of_the_face_of_a_chef_afro-american_caucasian_female_male_both_6.png,fair,caucasian,5
a_photo_of_the_face_of_a_firefighter_None_Normal_6.png,good,black,5
a_photo_of_the_face_of_a_flight_attendant_None_normal_6.png,excellent,caucasian,1
a_photo_of_the_face_of_a_nurse__afro-american_caucasian_female_male_both_7.png,good,other,1
a_photo_of_the_face_of_a_therapist_None_Normal_8.png,good,caucasian,1
a_photo_of_the_face_of_a_pilot__afro-american_caucasian_female_male_both_8.png,poor,black,5
a_photo_of_the_face_of_a_chef_afro-american_caucasian_female_male_both_7.png,fair,caucasian,1
a_photo_of_the_face_of_a_housekeeper_afro-american_caucasian_female_male_both_7.png,excellent,other,1
a_photo_of_the_face_of_a_CEO_None_normal_6.png,good,other,5
a_photo_of_the_face_of_a_firefighter_afro-american_caucasian_female_male_both_6.png,excellent,black,5
a_photo_of_the_face_of_a_firefighter_afro-american_caucasian_female_male_both_8.png,excellent,black,5
a_photo_of_the_face_of_a_CEO_None_normal_8.png,good,caucasian,5
a_photo_of_the_face_of_a_CEO_None_normal_7.png,excellent,other,5
a_photo_of_the_face_of_a_chef_None_Normal_8.png,good,caucasian,5
a_photo_of_the_face_of_a_chef_None_Normal_6.png,excellent,caucasian,5
a_photo_of_the_face_of_a_cook_afro-american_caucasian_female_male_both_7.png,good,caucasian,5
a_photo_of_the_face_of_a_therapist_afro-american_caucasian_female_male_both_7.png,excellent,other,5
a_photo_of_the_face_of_a_flight_attendant_None_normal_8.png,good,caucasian,1
a_photo_of_the_face_of_a_pilot__None_Normal_6.png,good,caucasian,5
a_photo_of_the_face_of_a_pilot__afro-american_caucasian_female_male_both_6.png,,caucasian,5
a_photo_of_the_face_of_a_therapist_afro-american_caucasian_female_male_both_8.png,good,caucasian,1
a_photo_of_the_face_of_a_therapist_None_Normal_7.png,excellent,caucasian,1
a_photo_of_the_face_of_a_housekeeper_None_Normal_7.png,excellent,other,1
a_photo_of_the_face_of_a_firefighter_None_Normal_8.png,fair,black,5
a_photo_of_the_face_of_a_nurse__None_Normal_7.png,excellent,other,1
a_photo_of_the_face_of_a_chef_None_Normal_7.png,fair,caucasian,5
a_photo_of_the_face_of_a_therapist_None_Normal_6.png,excellent,caucasian,5
a_photo_of_the_face_of_a_cook_afro-american_caucasian_female_male_both_8.png,good,black,5
a_photo_of_the_face_of_a_firefighter_None_Normal_7.png,fair,caucasian,5
a_photo_of_the_face_of_a_CEO_afro-american_caucasian_female_male_both_7.png,excellent,other,5
a_photo_of_the_face_of_a_cook_afro-american_caucasian_female_male_both_6.png,good,black,5
a_photo_of_the_face_of_a_CEO_afro-american_caucasian_female_male_both_8.png,bad,caucasian,5
a_photo_of_the_face_of_a_flight_attendant_afro-american_caucasian_female_male_both_7.png,excellent,caucasian,
a_photo_of_the_face_of_a_housekeeper_afro-american_caucasian_female_male_both_8.png,fair,other,1
a_photo_of_the_face_of_a_housekeeper_None_Normal_6.png,good,other,1
a_photo_of_the_face_of_a_taxi_driver_None_Normal_7.png,good,other,5
a_photo_of_the_face_of_a_pilot__None_Normal_8.png,good,caucasian,5
a_photo_of_the_face_of_a_taxi_driver_None_Normal_8.png,poor,other,5
a_photo_of_the_face_of_a_firefighter_afro-american_caucasian_female_male_both_7.png,excellent,black,5
a_photo_of_the_face_of_a_therapist_afro-american_caucasian_female_male_both_6.png,poor,caucasian,5
a_photo_of_the_face_of_a_taxi_driver_afro-american_caucasian_female_male_both_7.png,good,black,5
a_photo_of_the_face_of_a_nurse__None_Normal_8.png,excellent,caucasian,1
a_photo_of_the_face_of_a_taxi_driver_afro-american_caucasian_female_male_both_8.png,fair,other,5
a_photo_of_the_face_of_a_nurse__None_Normal_6.png,good,caucasian,1
a_photo_of_the_face_of_a_cook_None_Normal_6.png,excellent,caucasian,5
a_photo_of_the_face_of_a_pilot__afro-american_caucasian_female_male_both_7.png,fair,caucasian,5
a_photo_of_the_face_of_a_flight_attendant_afro-american_caucasian_female_male_both_6.png,fair,other,1
