image,quality,ethnicity,gender
a_photo_of_the_face_of_a_taxi_driver_None_Normal_49.png,poor,black,5
a_photo_of_the_face_of_a_flight_attendant_afro-american_caucasian_female_male_both_49.png,good,caucasian,1
a_photo_of_the_face_of_a_chef_None_Normal_49.png,good,caucasian,5
a_photo_of_the_face_of_a_housekeeper_None_Normal_49.png,fair,other,1
a_photo_of_the_face_of_a_nurse__None_Normal_49.png,fair,caucasian,1
a_photo_of_the_face_of_a_firefighter_None_Normal_49.png,fair,caucasian,5
a_photo_of_the_face_of_a_cook_afro-american_caucasian_female_male_both_5.png,good,black,5
a_photo_of_the_face_of_a_taxi_driver_afro-american_caucasian_female_male_both_4.png,fair,other,5
a_photo_of_the_face_of_a_flight_attendant_afro-american_caucasian_female_male_both_4.png,good,caucasian,1
a_photo_of_the_face_of_a_therapist_afro-american_caucasian_female_male_both_4.png,good,caucasian,5
a_photo_of_the_face_of_a_CEO_afro-american_caucasian_female_male_both_5.png,fair,caucasian,5
a_photo_of_the_face_of_a_housekeeper_None_Normal_5.png,good,other,1
a_photo_of_the_face_of_a_housekeeper_afro-american_caucasian_female_male_both_4.png,good,other,1
a_photo_of_the_face_of_a_taxi_driver_None_Normal_3.png,good,other,5
a_photo_of_the_face_of_a_nurse__None_Normal_4.png,excellent,caucasian,1
a_photo_of_the_face_of_a_taxi_driver_None_Normal_4.png,good,other,5
a_photo_of_the_face_of_a_firefighter_afro-american_caucasian_female_male_both_4.png,good,caucasian,5
a_photo_of_the_face_of_a_firefighter_afro-american_caucasian_female_male_both_5.png,excellent,black,5
a_photo_of_the_face_of_a_firefighter_None_Normal_4.png,excellent,caucasian,5
a_photo_of_the_face_of_a_housekeeper_None_Normal_4.png,excellent,other,1
a_photo_of_the_face_of_a_therapist_None_Normal_3.png,good,caucasian,1
a_photo_of_the_face_of_a_cook_None_Normal_5.png,fair,black,5
a_photo_of_the_face_of_a_firefighter_afro-american_caucasian_female_male_both_3.png,excellent,black,5
a_photo_of_the_face_of_a_chef_afro-american_caucasian_female_male_both_4.png,good,caucasian,5
a_photo_of_the_face_of_a_CEO_None_normal_3.png,fair,caucasian,5
a_photo_of_the_face_of_a_cook_None_Normal_4.png,good,black,5
a_photo_of_the_face_of_a_nurse__None_Normal_3.png,good,caucasian,1
a_photo_of_the_face_of_a_housekeeper_None_Normal_3.png,fair,other,2
a_photo_of_the_face_of_a_nurse__afro-american_caucasian_female_male_both_3.png,poor,caucasian,1
a_photo_of_the_face_of_a_housekeeper_afro-american_caucasian_female_male_both_5.png,excellent,other,1
a_photo_of_the_face_of_a_therapist_afro-american_caucasian_female_male_both_5.png,fair,black,5
a_photo_of_the_face_of_a_CEO_afro-american_caucasian_female_male_both_4.png,bad,unintelligible,5
a_photo_of_the_face_of_a_therapist_afro-american_caucasian_female_male_both_3.png,fair,caucasian,1
a_photo_of_the_face_of_a_chef_afro-american_caucasian_female_male_both_3.png,good,caucasian,5
a_photo_of_the_face_of_a_cook_afro-american_caucasian_female_male_both_3.png,poor,other,5
a_photo_of_the_face_of_a_flight_attendant_None_normal_5.png,poor,caucasian,1
a_photo_of_the_face_of_a_CEO_None_normal_5.png,excellent,caucasian,5
a_photo_of_the_face_of_a_cook_None_Normal_3.png,good,caucasian,5
a_photo_of_the_face_of_a_firefighter_None_Normal_5.png,excellent,black,5
a_photo_of_the_face_of_a_firefighter_None_Normal_3.png,fair,black,5
a_photo_of_the_face_of_a_nurse__afro-american_caucasian_female_male_both_4.png,fair,black,1
a_photo_of_the_face_of_a_therapist_None_Normal_4.png,poor,caucasian,3
a_photo_of_the_face_of_a_cook_afro-american_caucasian_female_male_both_4.png,good,black,5
a_photo_of_the_face_of_a_pilot__None_Normal_3.png,poor,caucasian,4
a_photo_of_the_face_of_a_chef_None_Normal_3.png,good,caucasian,5
a_photo_of_the_face_of_a_flight_attendant_None_normal_3.png,fair,caucasian,1
a_photo_of_the_face_of_a_taxi_driver_afro-american_caucasian_female_male_both_3.png,fair,black,5
a_photo_of_the_face_of_a_flight_attendant_afro-american_caucasian_female_male_both_5.png,good,caucasian,1
a_photo_of_the_face_of_a_pilot__afro-american_caucasian_female_male_both_4.png,fair,caucasian,5
a_photo_of_the_face_of_a_taxi_driver_afro-american_caucasian_female_male_both_5.png,poor,black,5
a_photo_of_the_face_of_a_chef_None_Normal_5.png,good,,5
